AuthorID,Author,Date,Content,Attachments,Reactions
236940575411011585,oreoliveson,2024-04-04T18:35:03.7490000+01:00,The perfect vlog setup,https://cdn.discordapp.com/attachments/1224713323409313872/1225498888501199028/20240404_202226.jpg?ex=6853a187&is=68525007&hm=a812db35aace3079193264ef118c5a64564d92abf6cd89af442a94fdc1cf9ebd&,🔥 (10)
857245714785501214,ayysaph,2024-04-04T18:45:05.5580000+01:00,lemme guess,,
857245714785501214,ayysaph,2024-04-04T18:45:18.9010000+01:00,ZV-E1 with Sony 20 1.8?,,
857245714785501214,ayysaph,2024-04-04T18:45:21.2770000+01:00,or 14 1.8?,,
857245714785501214,ayysaph,2024-04-04T18:45:26.5110000+01:00,were you the one that got the 14?,,
236940575411011585,oreoliveson,2024-04-04T19:08:21.3870000+01:00,Yes the 14,,
236940575411011585,oreoliveson,2024-04-04T19:08:57.7130000+01:00,It's important cause then you can turn on dynamic stabilization and still vlog comfortably with the crop it does,,👍 (9)
435459109488295961,theolly,2024-04-04T19:17:48.8210000+01:00,Haha that's because I primarily do photography.,,
435459109488295961,theolly,2024-04-04T19:18:05.6750000+01:00,My video setup is just camera and the d4 duo lol,,
435459109488295961,theolly,2024-04-04T19:25:03.5940000+01:00,Shameless plug for Photography Lounge,,😎 (8)
435459109488295961,theolly,2024-04-04T19:36:29.8500000+01:00,But I've got media job coming up this summer which may warrant a more 'proper' video setup investment,,
447860414089527296,godofmonkeys,2024-04-05T00:14:00.7050000+01:00,cleaned up a bit,https://cdn.discordapp.com/attachments/1224713323409313872/1225584187893878824/IMG_1013.jpg?ex=6853f0f8&is=68529f78&hm=b763cd84e67535e8fb95f682b3888435b3fd88179510eb46928be5023cb008d2&,
413494385351852033,sethcopela,2024-04-05T00:51:48.9760000+01:00,:wut:,,
413494385351852033,sethcopela,2024-04-05T00:51:54.5490000+01:00,god damn,,
413494385351852033,sethcopela,2024-04-05T00:52:06.2220000+01:00,that looks really satisfying lol,,
447860414089527296,godofmonkeys,2024-04-05T00:53:02.2500000+01:00,sure better than before,,
413494385351852033,sethcopela,2024-04-05T00:53:45.7340000+01:00,do you have a photo of before,,
447860414089527296,godofmonkeys,2024-04-05T00:54:20.6740000+01:00,not really,,
1122989053806137386,kaijg.05,2024-04-05T05:42:35.3820000+01:00,"I def get that, still worth showing off!",,
435459109488295961,theolly,2024-04-05T13:20:42.8230000+01:00,here you go,https://cdn.discordapp.com/attachments/1224713323409313872/1225782168027009055/20230322_145043.jpg?ex=6854009a&is=6852af1a&hm=be4ace03565d76d79b17924293570de810f9f5c0ddd929c250c59b8068f08ba1&,
413494385351852033,sethcopela,2024-04-08T01:45:35.6810000+01:00,:cedomgflip:,,
333909848762744832,potiii,2024-04-08T07:39:36.3420000+01:00,@Olly really cool how do you like the sigma?,,
333909848762744832,potiii,2024-04-08T08:22:24.1090000+01:00,Well my L bracket w the small rig dji power supply plate didn’t arrive yet so this is a budget solution for the “creator rig “,https://cdn.discordapp.com/attachments/1224713323409313872/1226794259164823572/IMG_3684.jpg?ex=6853bab0&is=68526930&hm=e8090a7291436fb125183b2f7e034ab7c1aae9d1234c4284563ac6c8d02b5416&,
333909848762744832,potiii,2024-04-08T08:23:20.7050000+01:00,Way too much weight on the rods the base plate needs to be in the front,,
333909848762744832,potiii,2024-04-08T08:24:13.8120000+01:00,Not very safe for multiple reasons,,
236940575411011585,oreoliveson,2024-04-08T08:48:25.8360000+01:00,Zv-e1 used for professional use,https://cdn.discordapp.com/attachments/1224713323409313872/1226800809531150336/20240408_104112.jpg?ex=6853c0c9&is=68526f49&hm=042921165826b7005478bd1f9baf1b18a7d656413586d1dab395d6e789ab4fb9&,
435459109488295961,theolly,2024-04-08T11:04:04.3780000+01:00,"Love it, great lens and such a versatile range!",,
447860414089527296,godofmonkeys,2024-04-09T00:04:34.9420000+01:00,teleprompter?,,
236940575411011585,oreoliveson,2024-04-09T06:49:02.8070000+01:00,Yes,,
236940575411011585,oreoliveson,2024-04-09T09:30:57.6390000+01:00,The cameras,https://cdn.discordapp.com/attachments/1224713323409313872/1227173900199268352/20240409_112851.mp4?ex=6853cac1&is=68527941&hm=dd49a258b10329fa4e1fcf4ba6a5fffbc911ea43d4ec95770c78ac7e47804171&,
413494385351852033,sethcopela,2024-04-11T06:29:45.5100000+01:00,Love it,,
236940575411011585,oreoliveson,2024-04-12T10:48:16.5490000+01:00,"Zv-e1 with this lens, works well",https://cdn.discordapp.com/attachments/1224713323409313872/1228280520769671178/IMG_1790.jpg?ex=6853dce0&is=68528b60&hm=e35432d90ac007bf41e81a7bf299c848cc54655c737eb6cc9cf498759fb59c72&,🔥 (6)
413494385351852033,sethcopela,2024-04-12T11:45:57.8370000+01:00,nice,,
333909848762744832,potiii,2024-04-12T15:45:18.4870000+01:00,,https://cdn.discordapp.com/attachments/1224713323409313872/1228355271261163651/4FAAF2EA-A8EE-4E8E-8D0F-643A97A08B5C.jpg?ex=685379be&is=6852283e&hm=258cb4969ea0e4e13d1b1b229c5e2a0afeffbe19f0f330499c56197091271bcf&,PES_InterestedPoggers (5)
738497864258289744,dorito_082905,2024-04-15T03:45:11.9150000+01:00,are those sony mount batteries? an alternate for vmount?,,
1122989053806137386,kaijg.05,2024-04-15T04:06:25.4500000+01:00,Two npf970s on a v mount adapter. I've got over a dozen of them for my studio lights which I wasn't using this shoot,,
1122989053806137386,kaijg.05,2024-04-15T04:07:08.4690000+01:00,"Very nice, bet it works real well",,
1122989053806137386,kaijg.05,2024-04-15T04:07:54.4610000+01:00,Anything for the shot,,
738497864258289744,dorito_082905,2024-04-15T05:21:24.2340000+01:00,those are wayyyy cheaper than a regular vmount battery,,
1122989053806137386,kaijg.05,2024-04-15T05:29:26.6630000+01:00,"They are unless you're buying oem. I've got both v mounts and npfs, the v mounts are nice for convenience on the rig, but I like the npfs better overall",,
333909848762744832,potiii,2024-04-15T11:00:10.9740000+01:00,"Yush. Ifootage arms are very strong it seems, didnt have any problem w that rig",,
333909848762744832,potiii,2024-04-15T11:00:58.5550000+01:00,But its better be safe than sorry so now after a few days of shoot w that im gonna wait out the supply plate and the L bracket before i take an L myself,,
333909848762744832,potiii,2024-04-15T11:01:12.1500000+01:00,Until than ill just use the rig w no gimbal.,,
333909848762744832,potiii,2024-04-15T14:14:34.7930000+01:00,How is it not front heavy?,,
333909848762744832,potiii,2024-04-15T14:17:05.2830000+01:00,I like when it pulls back on my shoulder so I only need to counteract and I dont have to put in any effort,,
333909848762744832,potiii,2024-04-15T14:18:35.9060000+01:00,"It seems to me that even w a battery attached yours will be very front heavy. This is why i was planning to attach a dovetail plate on the shoulder rig so i can shift the weight back and forward deepends on my setup , battery and lens choices",,
721686599317979136,marlow925,2024-04-15T15:30:59.3190000+01:00,"I don't use a monitor/recorder. I use an EVF. The whole monitor setup is usually, what loads extra weight on the front.",,
721686599317979136,marlow925,2024-04-15T15:31:38.9470000+01:00,"Also, I don't only have a V-mount on the back, but also the TX from the DJI Transmission system.",,
721686599317979136,marlow925,2024-04-15T15:32:03.3440000+01:00,"So there's a good bit more kit on the back usually, that's not mounted right now.",,
333909848762744832,potiii,2024-04-15T15:45:54.1840000+01:00,Oh i see! That makes sense now,,
1122989053806137386,kaijg.05,2024-04-15T18:41:18.6830000+01:00,"Probably best, but I love haphazard rigs",,
1122989053806137386,kaijg.05,2024-04-15T18:44:07.4910000+01:00,"Its still not front heavy? Even with that, I'd guess it still puts a lot of weight on ur hands w the servos and lens",,
333909848762744832,potiii,2024-04-15T19:06:35.7570000+01:00,Well the back is attached w a magic arm and on the front there is a nato smallrig monitor mount connecting it to rods that are only attached from the back baseplate and nothing is holding them in the front. The magic arm SHOULD be strong enough by its own but ofc the force acting on the lever arm is crazy here since it holds the gimbal from the back . Reversing the monitor mount and the magic arm should give it a better chance to not break. Also unscrewing the rod plate and placing it on the middle.,,
333909848762744832,potiii,2024-04-15T19:07:31.1950000+01:00,"But ill just rather wait for the plates, dovetail so i can adjust it , powersupply and ill get the new smallrig 212 V mount for it and the L bracket",,
1122989053806137386,kaijg.05,2024-04-15T19:15:47.1650000+01:00,"If it's got smth bracing it near the front, it's not too much force on the magic arm at all, so it shouldn't go amywhere... but it's a lot of gear to risk for a ""shouldn't""",,
333909848762744832,potiii,2024-04-15T19:18:56.9120000+01:00,"Yup that was my thinking too , but the thing on the front is a shitty monitor mount 😂. In theory it should hold no matter how weak it is , it just need another point of contact. But yes Im wont really risk this on an “it should hold “ 😂",,
641009845696200746,vwmk7.5,2024-04-16T01:23:08.8670000+01:00,💀,https://cdn.discordapp.com/attachments/1224713323409313872/1229587853021937715/IMG_7843.jpg?ex=6854012c&is=6852afac&hm=ac623c7540c31dacef4b29004030d0e15e8908e387126783ce59543a669e6e12&,
413494385351852033,sethcopela,2024-04-16T01:37:41.9580000+01:00,Lmao,,
630097135362113536,david.noh,2024-04-16T03:13:36.7460000+01:00,ah yess stablized lighting,,
641009845696200746,vwmk7.5,2024-04-16T09:35:31.0540000+01:00,Of course,,
977582077400735784,draiydsnl,2024-04-17T15:15:03.7370000+01:00,,"https://cdn.discordapp.com/attachments/1224713323409313872/1230159598342635520/Snapchat-997509162.jpg?ex=685372a7&is=68522127&hm=7d1eb383180911150705e5d1367260125352b3ea76f037ca81cdaf31b0de5d30&,https://cdn.discordapp.com/attachments/1224713323409313872/1230159598649086043/Snapchat-681474997.jpg?ex=685372a7&is=68522127&hm=c218f1e6b7ea4f48e2720a0061425089aadb5a55d6bd10ea90d231a4b7a4a0b7&,https://cdn.discordapp.com/attachments/1224713323409313872/1230159599017918505/Snapchat-1253277051.jpg?ex=685372a7&is=68522127&hm=f0597d652513547c1fe7351da9c41d4a3e848ba85fbd698f03a877353492112e&",
857245714785501214,ayysaph,2024-04-17T15:15:19.4590000+01:00,ooh nice! I've seen Canon JVCs before,,
977582077400735784,draiydsnl,2024-04-17T15:15:44.3260000+01:00,"yes, and i build my own rig",,
857245714785501214,ayysaph,2024-04-17T15:15:57.5980000+01:00,what light is that?,,
857245714785501214,ayysaph,2024-04-17T15:16:07.2990000+01:00,looks like an Aperture MC90 kinda,,
977582077400735784,draiydsnl,2024-04-17T15:16:21.4150000+01:00,"its a led video light, mounted on a magic arm",,
857245714785501214,ayysaph,2024-04-17T15:16:33.9530000+01:00,is it bi color? or rgb?,,
977582077400735784,draiydsnl,2024-04-17T15:16:41.9110000+01:00,bi i think,,
857245714785501214,ayysaph,2024-04-17T15:16:47.6700000+01:00,nice,,
977582077400735784,draiydsnl,2024-04-17T15:17:02.4980000+01:00,my shotgun mic is too big lmao,,
857245714785501214,ayysaph,2024-04-17T15:17:21.2370000+01:00,nah doesn't look bad imo,,
977582077400735784,draiydsnl,2024-04-17T15:18:51.1290000+01:00,,https://cdn.discordapp.com/attachments/1224713323409313872/1230160552521896048/Snapchat-1916864767.mp4?ex=6853738a&is=6852220a&hm=1319c2b627b8fc0ceeff362e3972bf262c2dad854c3fbf07405b21690e1ce886&,❤️ (1)
